,Date_reported,Confirmed,Deaths
0,2020-04-01,5,2.0
1,2020-04-02,8,1.0
2,2020-04-03,2,1.0
3,2020-04-04,13,3.0
4,2020-04-05,5,1.0
5,2020-04-06,11,2.0
6,2020-04-07,2,2.0
7,2020-04-08,5,1.0
8,2020-04-09,7,1.0
9,2020-04-12,3,1.0
10,2020-04-13,1,0.0
11,2020-04-14,1,0.0
12,2020-04-15,4,1.0
13,2020-04-16,4,4.0
14,2020-04-17,8,4.0
15,2020-04-18,1,1.0
16,2020-04-19,2,1.0
17,2020-04-20,5,2.0
18,2020-04-21,6,1.0
19,2020-04-22,3,1.0
20,2020-04-23,1,1.0
21,2020-04-26,4,2.0
22,2020-04-27,6,4.0
23,2020-04-28,5,3.0
24,2020-04-29,8,6.0
25,2020-04-30,10,6.0
