,Date_reported,Confirmed,Deaths
0,2020-04-01,2,2.0
1,2020-04-02,5,2.0
2,2020-04-03,14,6.0
3,2020-04-04,10,3.0
4,2020-04-06,3,1.0
5,2020-04-07,5,2.0
6,2020-04-08,6,6.0
7,2020-04-09,9,2.0
8,2020-04-10,6,1.0
9,2020-04-11,7,1.0
10,2020-04-12,2,2.0
11,2020-04-13,1,0.0
12,2020-04-14,3,2.0
13,2020-04-15,9,2.0
14,2020-04-16,2,1.0
15,2020-04-17,6,2.0
16,2020-04-18,3,1.0
17,2020-04-19,8,2.0
18,2020-04-20,2,1.0
19,2020-04-21,6,2.0
20,2020-04-22,5,0.0
21,2020-04-23,6,1.0
22,2020-04-24,5,2.0
23,2020-04-25,2,1.0
24,2020-04-26,5,2.0
25,2020-04-27,4,1.0
26,2020-04-28,7,1.0
27,2020-04-29,6,1.0
28,2020-04-30,4,0.0
